Nom,Age,Nationalite,Valeur_Marchande,Prix_Raw,URL_Profil
Matt Turner,29,États-Unis,"8,00 mio. €","8,15 mio. €",https://www.transfermarkt.fr/matt-turner/profil/spieler/425306
Nikola Krstović,23,Monténégro,"2,20 mio. €","8,15 mio. €",https://www.transfermarkt.fr/nikola-krstovic/profil/spieler/434433
Matías Viña,26,Uruguay,"8,00 mio. €","8,10 mio. €",https://www.transfermarkt.fr/matias-vina/profil/spieler/439072
Malick Fofana,18,Belgique,"8,00 mio. €","19,50 mio. €",https://www.transfermarkt.fr/malick-fofana/profil/spieler/743386
M'Bala Nzola,26,Angola,"8,00 mio. €","12,60 mio. €",https://www.transfermarkt.fr/mbala-nzola/profil/spieler/354814
Petar Musa,25,Croatie,"8,00 mio. €","9,00 mio. €",https://www.transfermarkt.fr/petar-musa/profil/spieler/387110
Jean-Mattéo Bahoya,18,France,"2,50 mio. €","8,00 mio. €",https://www.transfermarkt.fr/jean-matteo-bahoya/profil/spieler/939964
Moritz Jenz,24,Allemagne,"7,50 mio. €","8,00 mio. €",https://www.transfermarkt.fr/moritz-jenz/profil/spieler/460245
Vaclav Cerny,25,Tchéquie,"8,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/vaclav-cerny/profil/spieler/242063
Philipp Köhn,25,Suisse,"4,50 mio. €","8,00 mio. €",https://www.transfermarkt.fr/philipp-kohn/profil/spieler/251322
Ayase Ueda,24,Japon,"6,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/ayase-ueda/profil/spieler/589128
Faris Moumbagna,23,Cameroun,"7,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/faris-moumbagna/profil/spieler/599663
Jorge de Frutos,26,Espagne,"8,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/jorge-de-frutos/profil/spieler/455181
Yankuba Minteh,18,Gambie,"2,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/yankuba-minteh/profil/spieler/1012534
Isaak Touré,20,France,"6,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/isaak-toure/profil/spieler/708678
Gianluca Caprari,29,Italie,"8,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/gianluca-caprari/profil/spieler/146752
Luis Suárez,25,Colombie,"8,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/luis-suarez/profil/spieler/424784
Georginio Wijnaldum,32,Pays-Bas,"8,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/georginio-wijnaldum/profil/spieler/49499
Lucas Veríssimo,28,Brésil,"7,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/lucas-verissimo/profil/spieler/411662
Ibrahima Bamba,21,Italie,"7,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/ibrahima-bamba/profil/spieler/840674
Jovan Mijatovic,18,Serbie,"3,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/jovan-mijatovic/profil/spieler/673432
Liel Abada,22,Israël,"7,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/liel-abada/profil/spieler/519514
Cyle Larin,28,Canada,"8,00 mio. €","7,50 mio. €",https://www.transfermarkt.fr/cyle-larin/profil/spieler/343463
Tajon Buchanan,24,Canada,"8,00 mio. €","7,30 mio. €",https://www.transfermarkt.fr/tajon-buchanan/profil/spieler/638793
Arkadiusz Milik,29,Pologne,"8,00 mio. €","7,30 mio. €",https://www.transfermarkt.fr/arkadiusz-milik/profil/spieler/191891
Ramiz Zerrouki,25,Algérie,"8,00 mio. €","7,20 mio. €",https://www.transfermarkt.fr/ramiz-zerrouki/profil/spieler/416660
Luis Chávez,27,Mexique,"8,00 mio. €","6,50 mio. €",https://www.transfermarkt.fr/luis-chavez/profil/spieler/331059
Lucas Perri,26,Brésil,"8,00 mio. €","6,50 mio. €",https://www.transfermarkt.fr/lucas-perri/profil/spieler/352041
Aaron Boupendza,26,Gabon,"8,00 mio. €","6,50 mio. €",https://www.transfermarkt.fr/aaron-boupendza/profil/spieler/427605
Junior Adamu,22,Autriche,"8,00 mio. €","6,00 mio. €",https://www.transfermarkt.fr/junior-adamu/profil/spieler/452477
Sergio Akieme,26,Espagne,"8,00 mio. €","6,00 mio. €",https://www.transfermarkt.fr/sergio-akieme/profil/spieler/355627
Ansgar Knauff,21,Allemagne,"8,00 mio. €","5,00 mio. €",https://www.transfermarkt.fr/ansgar-knauff/profil/spieler/429874
Lorenzo Pirola,21,Italie,"8,00 mio. €","5,00 mio. €",https://www.transfermarkt.fr/lorenzo-pirola/profil/spieler/487834
Kevin Volland,31,Allemagne,"8,00 mio. €","4,00 mio. €",https://www.transfermarkt.fr/kevin-volland/profil/spieler/82009
Santiago Hezze,21,Argentine,"8,00 mio. €","4,00 mio. €",https://www.transfermarkt.fr/santiago-hezze/profil/spieler/742803
Adryelson,25,Brésil,"8,00 mio. €","3,58 mio. €",https://www.transfermarkt.fr/adryelson/profil/spieler/373433
Jesús Corona,30,Mexique,"8,00 mio. €","3,50 mio. €",https://www.transfermarkt.fr/jesus-corona/profil/spieler/125165
Moussa Djenepo,25,Mali,"8,00 mio. €","3,50 mio. €",https://www.transfermarkt.fr/moussa-djenepo/profil/spieler/485424
Abdülkadir Ömür,24,Turquie,"8,00 mio. €","2,50 mio. €",https://www.transfermarkt.fr/abdulkadir-omur/profil/spieler/271495
Jáminton Campaz,23,Colombie,"8,00 mio. €","1,84 mio. €",https://www.transfermarkt.fr/jaminton-campaz/profil/spieler/491553
Karl Toko Ekambi,30,Cameroun,"8,00 mio. €","1,50 mio. €",https://www.transfermarkt.fr/karl-toko-ekambi/profil/spieler/315110
Rob Holding,27,Angleterre,"8,00 mio. €","1,20 mio. €",https://www.transfermarkt.fr/rob-holding/profil/spieler/253341
Ethan Laird,21,Angleterre,"8,00 mio. €",875 K €,https://www.transfermarkt.fr/ethan-laird/profil/spieler/531679
Luka Jović,25,Serbie,"8,00 mio. €",500 K €,https://www.transfermarkt.fr/luka-jovic/profil/spieler/257462
Angeliño,27,Espagne,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/angelino/profil/spieler/277179
Alexander Djiku,28,Ghana,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/alexander-djiku/profil/spieler/250844
Héctor Bellerín,28,Espagne,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/hector-bellerin/profil/spieler/191217
Djed Spence,23,Angleterre,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/djed-spence/profil/spieler/483348
Ángel Di María,35,Argentine,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/angel-di-maria/profil/spieler/45320
Alejandro Catena,28,Espagne,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/alejandro-catena/profil/spieler/449796
Duván Zapata,32,Colombie,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/duvan-zapata/profil/spieler/73794
Simone Pafundi,17,Italie,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/simone-pafundi/profil/spieler/876400
Gabriel Veron,21,Brésil,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/gabriel-veron/profil/spieler/627221
Lewis O'Brien,24,Angleterre,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/lewis-obrien/profil/spieler/560694
Francisco Conceição,20,Portugal,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/francisco-conceicao/profil/spieler/487474
Sead Kolasinac,30,Bosnie-Herzégovine,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/sead-kolasinac/profil/spieler/94005
Remo Freuler,31,Suisse,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/remo-freuler/profil/spieler/148252
Agustín Álvarez,22,Uruguay,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/agustin-alvarez/profil/spieler/812625
Ainsley Maitland-Niles,25,Angleterre,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/ainsley-maitland-niles/profil/spieler/285845
Gabriel Strefezza,26,Brésil,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/gabriel-strefezza/profil/spieler/457673
Jonny Otto,29,Espagne,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/jonny-otto/profil/spieler/175446
Owen Wijndal,23,Pays-Bas,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/owen-wijndal/profil/spieler/339328
Juanmi,30,Espagne,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/juanmi/profil/spieler/126737
Óscar Rodríguez,25,Espagne,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/oscar-rodriguez/profil/spieler/284884
Emmanuel Dennis,25,Nigeria,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/emmanuel-dennis/profil/spieler/448854
Ghislain Konan,27,Côte d'Ivoire,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/ghislain-konan/profil/spieler/422850
Diego Valoyes,26,Colombie,"5,50 mio. €","7,85 mio. €",https://www.transfermarkt.fr/diego-valoyes/profil/spieler/413983
Dara O'Shea,24,Irlande,"5,00 mio. €","7,80 mio. €",https://www.transfermarkt.fr/dara-oshea/profil/spieler/401320
Hugo Vetlesen,23,Norvège,"7,00 mio. €","7,75 mio. €",https://www.transfermarkt.fr/hugo-vetlesen/profil/spieler/499758
Marc Pubill,20,Espagne,"1,00 mio. €","7,75 mio. €",https://www.transfermarkt.fr/marc-pubill/profil/spieler/844637
Kosta Nedeljkovic,18,Serbie,"2,50 mio. €","7,60 mio. €",https://www.transfermarkt.fr/kosta-nedeljkovic/profil/spieler/848682
Niels Nkounkou,22,France,"5,00 mio. €","7,50 mio. €",https://www.transfermarkt.fr/niels-nkounkou/profil/spieler/591193
Théo Bongonda,27,RD Congo,"4,00 mio. €","7,50 mio. €",https://www.transfermarkt.fr/theo-bongonda/profil/spieler/280701
Benjamin Tahirović,20,Bosnie-Herzégovine,"1,50 mio. €","7,50 mio. €",https://www.transfermarkt.fr/benjamin-tahirovic/profil/spieler/787907
Stephy Mavididi,25,Angleterre,"6,00 mio. €","7,50 mio. €",https://www.transfermarkt.fr/stephy-mavididi/profil/spieler/340328
Formose Mendy,22,Sénégal,"3,00 mio. €","7,50 mio. €",https://www.transfermarkt.fr/formose-mendy/profil/spieler/649023
Ibrahima Koné,24,Mali,"4,00 mio. €","7,50 mio. €",https://www.transfermarkt.fr/ibrahima-kone/profil/spieler/490223
Cristian Volpato,19,Italie,"3,00 mio. €","7,50 mio. €",https://www.transfermarkt.fr/cristian-volpato/profil/spieler/746891
Nedim Bajrami,24,Albanie,"7,50 mio. €","6,00 mio. €",https://www.transfermarkt.fr/nedim-bajrami/profil/spieler/390177
Alex Telles,30,Brésil,"7,50 mio. €","4,60 mio. €",https://www.transfermarkt.fr/alex-telles/profil/spieler/255755
Walid Cheddira,25,Maroc,"7,50 mio. €","3,00 mio. €",https://www.transfermarkt.fr/walid-cheddira/profil/spieler/521407
Paulinho,22,Brésil,Inconnu,"7,50 mio. €",https://www.transfermarkt.fr/paulinho/profil/spieler/428791
Santi Comesaña,26,Espagne,Inconnu,"7,50 mio. €",https://www.transfermarkt.fr/santi-comesana/profil/spieler/380598
Marash Kumbulla,23,Albanie,Inconnu,"7,50 mio. €",https://www.transfermarkt.fr/marash-kumbulla/profil/spieler/371371
Paco Alcácer,30,Espagne,Inconnu,"7,50 mio. €",https://www.transfermarkt.fr/paco-alcacer/profil/spieler/126716
Momodou Sonko,18,Suède,"4,00 mio. €","7,25 mio. €",https://www.transfermarkt.fr/momodou-sonko/profil/spieler/929876
Yann Bisseck,22,Allemagne,"5,00 mio. €","7,20 mio. €",https://www.transfermarkt.fr/yann-bisseck/profil/spieler/441986
Andy Diouf,20,France,"7,00 mio. €","14,00 mio. €",https://www.transfermarkt.fr/andy-diouf/profil/spieler/711976
Santiago Castro,19,Argentine,"7,00 mio. €","13,20 mio. €",https://www.transfermarkt.fr/santiago-castro/profil/spieler/849520
Tiago Tomás,21,Portugal,"7,00 mio. €","8,80 mio. €",https://www.transfermarkt.fr/tiago-tomas/profil/spieler/616344
Arthur,20,Brésil,"5,00 mio. €","7,00 mio. €",https://www.transfermarkt.fr/arthur/profil/spieler/977464
Raúl García,22,Espagne,"4,00 mio. €","7,00 mio. €",https://www.transfermarkt.fr/raul-garcia/profil/spieler/631002
Raoul Bellanova,23,Italie,"5,00 mio. €","7,00 mio. €",https://www.transfermarkt.fr/raoul-bellanova/profil/spieler/357992
Léo Ortiz,28,Brésil,"7,00 mio. €","7,00 mio. €",https://www.transfermarkt.fr/leo-ortiz/profil/spieler/374136
Ellis Simms,22,Angleterre,"4,00 mio. €","7,00 mio. €",https://www.transfermarkt.fr/ellis-simms/profil/spieler/511550
Ozziel Herrera,22,Mexique,"3,50 mio. €","7,00 mio. €",https://www.transfermarkt.fr/ozziel-herrera/profil/spieler/629006
Agustín Ojeda,19,Argentine,"3,00 mio. €","7,00 mio. €",https://www.transfermarkt.fr/agustin-ojeda/profil/spieler/907131
Matz Sels,31,Belgique,"7,00 mio. €","6,50 mio. €",https://www.transfermarkt.fr/matz-sels/profil/spieler/127202
Josh Doig,21,Écosse,"7,00 mio. €","6,50 mio. €",https://www.transfermarkt.fr/josh-doig/profil/spieler/567129
Aníbal Moreno,24,Argentine,"7,00 mio. €","6,45 mio. €",https://www.transfermarkt.fr/anibal-moreno/profil/spieler/642758
Jesús Medina,26,Paraguay,"7,00 mio. €","6,00 mio. €",https://www.transfermarkt.fr/jesus-medina/profil/spieler/353037
Tom Krauß,22,Allemagne,"7,00 mio. €","5,00 mio. €",https://www.transfermarkt.fr/tom-krauss/profil/spieler/405687
Kasper Dolberg,25,Danemark,"7,00 mio. €","5,00 mio. €",https://www.transfermarkt.fr/kasper-dolberg/profil/spieler/283196
Andy Delort,31,Algérie,"7,00 mio. €","5,00 mio. €",https://www.transfermarkt.fr/andy-delort/profil/spieler/122797
Nabil Bentaleb,28,Algérie,"7,00 mio. €","4,50 mio. €",https://www.transfermarkt.fr/nabil-bentaleb/profil/spieler/245537
Khellven,22,Brésil,"7,00 mio. €","4,50 mio. €",https://www.transfermarkt.fr/khellven/profil/spieler/653348
Milan van Ewijk,22,Pays-Bas,"7,00 mio. €","4,30 mio. €",https://www.transfermarkt.fr/milan-van-ewijk/profil/spieler/587335
Thorgan Hazard,30,Belgique,"7,00 mio. €","4,00 mio. €",https://www.transfermarkt.fr/thorgan-hazard/profil/spieler/102226
Jorge Carrascal,25,Colombie,"7,00 mio. €","3,50 mio. €",https://www.transfermarkt.fr/jorge-carrascal/profil/spieler/354145
Ruben Aguilar,30,France,"7,00 mio. €","3,50 mio. €",https://www.transfermarkt.fr/ruben-aguilar/profil/spieler/203746
Lucas Zelarayán,31,Arménie,"7,00 mio. €","2,75 mio. €",https://www.transfermarkt.fr/lucas-zelarayan/profil/spieler/230030
Krzysztof Piatek,28,Pologne,"7,00 mio. €","2,00 mio. €",https://www.transfermarkt.fr/krzysztof-piatek/profil/spieler/327757
Gonzalo Martínez,30,Argentine,"7,00 mio. €",520 K €,https://www.transfermarkt.fr/gonzalo-martinez/profil/spieler/281405
Serge Aurier,31,Côte d'Ivoire,"7,00 mio. €",100 K €,https://www.transfermarkt.fr/serge-aurier/profil/spieler/127032
Alex Král,25,Tchéquie,Inconnu,"7,00 mio. €",https://www.transfermarkt.fr/alex-kral/profil/spieler/337333
Alex Oxlade-Chamberlain,29,Angleterre,Inconnu,"7,00 mio. €",https://www.transfermarkt.fr/alex-oxlade-chamberlain/profil/spieler/143424
Japhet Tanganga,24,Angleterre,Inconnu,"7,00 mio. €",https://www.transfermarkt.fr/japhet-tanganga/profil/spieler/346478
Aarón Martín,26,Espagne,Inconnu,"7,00 mio. €",https://www.transfermarkt.fr/aaron-martin/profil/spieler/251878
Álvaro Carreras,20,Espagne,Inconnu,"7,00 mio. €",https://www.transfermarkt.fr/alvaro-carreras/profil/spieler/811778
Luca Pellegrini,24,Italie,Inconnu,"7,00 mio. €",https://www.transfermarkt.fr/luca-pellegrini/profil/spieler/346567
Connor Roberts,28,Pays de Galles,Inconnu,"7,00 mio. €",https://www.transfermarkt.fr/connor-roberts/profil/spieler/214666
Joe Rodon,25,Pays de Galles,Inconnu,"7,00 mio. €",https://www.transfermarkt.fr/joe-rodon/profil/spieler/297212
Tommy Doyle,21,Angleterre,Inconnu,"7,00 mio. €",https://www.transfermarkt.fr/tommy-doyle/profil/spieler/433183
Matheus Pereira,27,Brésil,Inconnu,"7,00 mio. €",https://www.transfermarkt.fr/matheus-pereira/profil/spieler/225984
Brandon Williams,22,Angleterre,Inconnu,"7,00 mio. €",https://www.transfermarkt.fr/brandon-williams/profil/spieler/507700
Leonardo Fernández,25,Uruguay,Inconnu,"7,00 mio. €",https://www.transfermarkt.fr/leonardo-fernandez/profil/spieler/375610
Maxime Estève,21,France,Inconnu,"7,00 mio. €",https://www.transfermarkt.fr/maxime-esteve/profil/spieler/842341
Imrân Louza,24,Maroc,Inconnu,"7,00 mio. €",https://www.transfermarkt.fr/imran-louza/profil/spieler/635336
Maxi Gómez,27,Uruguay,Inconnu,"7,00 mio. €",https://www.transfermarkt.fr/maxi-gomez/profil/spieler/396894
Tyler Morton,20,Angleterre,Inconnu,"7,00 mio. €",https://www.transfermarkt.fr/tyler-morton/profil/spieler/618494
Chrislain Matsima,21,France,Inconnu,"7,00 mio. €",https://www.transfermarkt.fr/chrislain-matsima/profil/spieler/569383
Martín Satriano,22,Uruguay,Inconnu,"7,00 mio. €",https://www.transfermarkt.fr/martin-satriano/profil/spieler/640109
Billal Brahimi,23,Algérie,Inconnu,"7,00 mio. €",https://www.transfermarkt.fr/billal-brahimi/profil/spieler/543051
Ibrahima Diallo,24,France,"7,00 mio. €",?,https://www.transfermarkt.fr/ibrahima-diallo/profil/spieler/413032
Petar Ratkov,19,Serbie,"4,00 mio. €","6,95 mio. €",https://www.transfermarkt.fr/petar-ratkov/profil/spieler/846254
Ilia Gruev,23,Bulgarie,"3,00 mio. €","6,50 mio. €",https://www.transfermarkt.fr/ilia-gruev/profil/spieler/381753
Christian Kabasele,32,Belgique,"1,00 mio. €","6,50 mio. €",https://www.transfermarkt.fr/christian-kabasele/profil/spieler/81512
Tiago Santos,20,Portugal,"3,50 mio. €","6,50 mio. €",https://www.transfermarkt.fr/tiago-santos/profil/spieler/816580
Orbelín Pineda,27,Mexique,"5,00 mio. €","6,50 mio. €",https://www.transfermarkt.fr/orbelin-pineda/profil/spieler/334042
Dion Lopy,21,Sénégal,"4,00 mio. €","6,50 mio. €",https://www.transfermarkt.fr/dion-lopy/profil/spieler/649033
Daniel Boloca,24,Italie,"3,50 mio. €","6,50 mio. €",https://www.transfermarkt.fr/daniel-boloca/profil/spieler/441515
Pedro de la Vega,22,Argentine,"6,50 mio. €","6,40 mio. €",https://www.transfermarkt.fr/pedro-de-la-vega/profil/spieler/618984
Danilo,24,Brésil,"6,50 mio. €","6,30 mio. €",https://www.transfermarkt.fr/danilo/profil/spieler/519731
Carl Starfelt,28,Suède,"6,50 mio. €","5,00 mio. €",https://www.transfermarkt.fr/carl-starfelt/profil/spieler/258987
Rodrigo Garro,25,Argentine,"6,50 mio. €","4,55 mio. €",https://www.transfermarkt.fr/rodrigo-garro/profil/spieler/565009
Santiago Ascacíbar,26,Argentine,"6,50 mio. €","2,50 mio. €",https://www.transfermarkt.fr/santiago-ascacibar/profil/spieler/423436
Nikola Moro,25,Croatie,"6,50 mio. €","2,50 mio. €",https://www.transfermarkt.fr/nikola-moro/profil/spieler/316934
Uros Racic,25,Serbie,"6,50 mio. €","2,50 mio. €",https://www.transfermarkt.fr/uros-racic/profil/spieler/417575
Stipe Biuk,21,Croatie,Inconnu,"6,50 mio. €",https://www.transfermarkt.fr/stipe-biuk/profil/spieler/587520
Florian Grillitsch,27,Autriche,Inconnu,"6,50 mio. €",https://www.transfermarkt.fr/florian-grillitsch/profil/spieler/195736
Simone Bastoni,26,Italie,Inconnu,"6,50 mio. €",https://www.transfermarkt.fr/simone-bastoni/profil/spieler/257751
Raúl Jiménez,32,Mexique,"6,00 mio. €","6,40 mio. €",https://www.transfermarkt.fr/raul-jimenez/profil/spieler/206040
Federico Pereira,23,Uruguay,"1,50 mio. €","6,33 mio. €",https://www.transfermarkt.fr/federico-pereira/profil/spieler/671479
Tomás Avilés,19,Argentine,"1,00 mio. €","6,30 mio. €",https://www.transfermarkt.fr/tomas-aviles/profil/spieler/1064191
Pablo Marí,29,Espagne,"5,00 mio. €","6,20 mio. €",https://www.transfermarkt.fr/pablo-mari/profil/spieler/210178
Marco Brescianini,23,Italie,900 K €,"6,20 mio. €",https://www.transfermarkt.fr/marco-brescianini/profil/spieler/459128
Fabricio Díaz,20,Uruguay,"6,00 mio. €","6,10 mio. €",https://www.transfermarkt.fr/fabricio-diaz/profil/spieler/741567
André Amaro,20,Portugal,"6,00 mio. €","7,75 mio. €",https://www.transfermarkt.fr/andre-amaro/profil/spieler/637782
Bruma,28,Portugal,"6,00 mio. €","6,55 mio. €",https://www.transfermarkt.fr/bruma/profil/spieler/139396
Samu Aghehowa,19,Espagne,200 K €,"6,00 mio. €",https://www.transfermarkt.fr/samu-aghehowa/profil/spieler/991268
Johnny Cardoso,22,États-Unis,"6,00 mio. €","6,00 mio. €",https://www.transfermarkt.fr/johnny-cardoso/profil/spieler/689505
Jean Lucas,25,Brésil,"5,00 mio. €","6,00 mio. €",https://www.transfermarkt.fr/jean-lucas/profil/spieler/578872
Oleg Reabciuk,25,Moldavie,"4,00 mio. €","6,00 mio. €",https://www.transfermarkt.fr/oleg-reabciuk/profil/spieler/461512
Mads Bidstrup,22,Danemark,"2,50 mio. €","6,00 mio. €",https://www.transfermarkt.fr/mads-bidstrup/profil/spieler/462832
Maduka Okoye,23,Nigeria,"2,00 mio. €","6,00 mio. €",https://www.transfermarkt.fr/maduka-okoye/profil/spieler/340353
Enso González,18,Paraguay,"1,90 mio. €","6,00 mio. €",https://www.transfermarkt.fr/enso-gonzalez/profil/spieler/1060740
Sivert Mannsverk,21,Norvège,"5,00 mio. €","6,00 mio. €",https://www.transfermarkt.fr/sivert-mannsverk/profil/spieler/510310
George Ilenikhena,16,Nigeria,"1,00 mio. €","6,00 mio. €",https://www.transfermarkt.fr/george-ilenikhena/profil/spieler/1004834
Michal Skoras,23,Pologne,"6,00 mio. €","6,00 mio. €",https://www.transfermarkt.fr/michal-skoras/profil/spieler/393565
Sergio Arribas,21,Espagne,"5,00 mio. €","6,00 mio. €",https://www.transfermarkt.fr/sergio-arribas/profil/spieler/537762
Diego Lainez,23,Mexique,"2,50 mio. €","6,00 mio. €",https://www.transfermarkt.fr/diego-lainez/profil/spieler/371174
Jhon Solís,18,Colombie,700 K €,"6,00 mio. €",https://www.transfermarkt.fr/jhon-solis/profil/spieler/742521
Félix Torres,27,Équateur,"6,00 mio. €","5,95 mio. €",https://www.transfermarkt.fr/felix-torres/profil/spieler/468174
Mostafa Mohamed,25,Égypte,"6,00 mio. €","5,75 mio. €",https://www.transfermarkt.fr/mostafa-mohamed/profil/spieler/462348
Érick Gutiérrez,28,Mexique,"6,00 mio. €","5,50 mio. €",https://www.transfermarkt.fr/erick-gutierrez/profil/spieler/298796
Giovanni Fabbian,20,Italie,"6,00 mio. €","5,37 mio. €",https://www.transfermarkt.fr/giovanni-fabbian/profil/spieler/633668
Adson,22,Brésil,"6,00 mio. €","5,00 mio. €",https://www.transfermarkt.fr/adson/profil/spieler/868891
Bakhtiyor Zaynutdinov,25,Kazakhstan,"6,00 mio. €","4,50 mio. €",https://www.transfermarkt.fr/bakhtiyor-zaynutdinov/profil/spieler/344299
Pedro Raul,26,Brésil,"6,00 mio. €","4,50 mio. €",https://www.transfermarkt.fr/pedro-raul/profil/spieler/547443
Gerardo Arteaga,25,Mexique,"6,00 mio. €","4,50 mio. €",https://www.transfermarkt.fr/gerardo-arteaga/profil/spieler/469718
Jean Onana,23,Cameroun,"6,00 mio. €","4,04 mio. €",https://www.transfermarkt.fr/jean-onana/profil/spieler/656441
Matheuzinho,23,Brésil,"6,00 mio. €","4,00 mio. €",https://www.transfermarkt.fr/matheuzinho/profil/spieler/594226
Kerem Demirbay,30,Allemagne,"6,00 mio. €","3,70 mio. €",https://www.transfermarkt.fr/kerem-demirbay/profil/spieler/125858
Yeferson Soteldo,26,Venezuela,"6,00 mio. €","3,65 mio. €",https://www.transfermarkt.fr/yeferson-soteldo/profil/spieler/312294
Nathan Silva,26,Brésil,"6,00 mio. €","3,65 mio. €",https://www.transfermarkt.fr/nathan-silva/profil/spieler/440652
Alexis Flips,23,France,"6,00 mio. €","3,50 mio. €",https://www.transfermarkt.fr/alexis-flips/profil/spieler/395242
Rodrigo,32,Espagne,"6,00 mio. €","3,50 mio. €",https://www.transfermarkt.fr/rodrigo/profil/spieler/131505
David Terans,28,Uruguay,"6,00 mio. €","3,35 mio. €",https://www.transfermarkt.fr/david-terans/profil/spieler/261309
Bartosz Slisz,24,Pologne,"6,00 mio. €","3,20 mio. €",https://www.transfermarkt.fr/bartosz-slisz/profil/spieler/382429
Emil Forsberg,32,Suède,"6,00 mio. €","3,00 mio. €",https://www.transfermarkt.fr/emil-forsberg/profil/spieler/111078
Iuri Medeiros,28,Portugal,"6,00 mio. €","3,00 mio. €",https://www.transfermarkt.fr/iuri-medeiros/profil/spieler/193830
Mathias Normann,27,Norvège,"6,00 mio. €","3,00 mio. €",https://www.transfermarkt.fr/mathias-normann/profil/spieler/257805
Jacob Brown,25,Écosse,"6,00 mio. €","2,90 mio. €",https://www.transfermarkt.fr/jacob-brown/profil/spieler/469958
Adrien Tamèze,29,France,"6,00 mio. €","2,80 mio. €",https://www.transfermarkt.fr/adrien-tameze/profil/spieler/157507
Willian Arão,31,Brésil,"6,00 mio. €","2,50 mio. €",https://www.transfermarkt.fr/willian-arao/profil/spieler/210747
Arthur Masuaku,29,RD Congo,"6,00 mio. €","2,00 mio. €",https://www.transfermarkt.fr/arthur-masuaku/profil/spieler/181380
Omar Marmoush,24,Égypte,Inconnu,"6,00 mio. €",https://www.transfermarkt.fr/omar-marmoush/profil/spieler/445939
Dušan Tadić,34,Serbie,Inconnu,"6,00 mio. €",https://www.transfermarkt.fr/dusan-tadic/profil/spieler/36139
Emil Audero,26,Indonésie,Inconnu,"6,00 mio. €",https://www.transfermarkt.fr/emil-audero/profil/spieler/256339
Ante Rebić,29,Croatie,Inconnu,"6,00 mio. €",https://www.transfermarkt.fr/ante-rebic/profil/spieler/187587
Abdallah Sima,22,Sénégal,Inconnu,"6,00 mio. €",https://www.transfermarkt.fr/abdallah-sima/profil/spieler/776798
Ayoze Pérez,29,Espagne,Inconnu,"6,00 mio. €",https://www.transfermarkt.fr/ayoze-perez/profil/spieler/246968
Flavien Tait,30,France,Inconnu,"6,00 mio. €",https://www.transfermarkt.fr/flavien-tait/profil/spieler/202278
Jean-Philippe Krasso,25,Côte d'Ivoire,Inconnu,"6,00 mio. €",https://www.transfermarkt.fr/jean-philippe-krasso/profil/spieler/358515
Cristian Guanca,30,Argentine,Inconnu,"6,00 mio. €",https://www.transfermarkt.fr/cristian-guanca/profil/spieler/167423
Pep Biel,27,Espagne,Inconnu,"6,00 mio. €",https://www.transfermarkt.fr/pep-biel/profil/spieler/263804
Ryan Fraser,29,Écosse,Inconnu,"6,00 mio. €",https://www.transfermarkt.fr/ryan-fraser/profil/spieler/146795
Matías Rojas,27,Paraguay,Inconnu,"6,00 mio. €",https://www.transfermarkt.fr/matias-rojas/profil/spieler/417327
Manuel Lanzini,30,Argentine,Inconnu,"6,00 mio. €",https://www.transfermarkt.fr/manuel-lanzini/profil/spieler/135853
João Pedro,31,Italie,Inconnu,"6,00 mio. €",https://www.transfermarkt.fr/joao-pedro/profil/spieler/129129
